alunos,prevalencia_nao_alfabetizado,accuracy,balanced_accuracy,brier,roc_auc,average_precision_risco,precision_risco,recall_risco,f1_risco,fracao_sinalizada,limiar_risco
390717,0.4019226191847296,0.42273563730270247,0.5170114745156442,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4102911945024238,0.9976311466014596,0.5814514946769126,0.9772827903572151,0.1
390717,0.4019226191847296,0.42491112493185607,0.5187320487554338,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.41116272718439717,0.9970325653663444,0.5822241145617385,0.974626136052437,0.11
390717,0.4019226191847296,0.42566870650624367,0.519312139185758,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.41145883992061094,0.9967078032068671,0.5824654893635232,0.9736074959625509,0.12
390717,0.4019226191847296,0.4302449087190985,0.5229154737672617,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4133043885232594,0.9953514435996383,0.5840789643311555,0.9679409905379085,0.13
390717,0.4019226191847296,0.4339355594970273,0.5255842450233087,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4147056398307226,0.9928106572931392,0.5850364641671779,0.9622079407857861,0.13999999999999999
390717,0.4019226191847296,0.43784631843508215,0.5285404106750775,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.41626384679380346,0.9909002916491549,0.5862513916072192,0.9567615435212699,0.14999999999999997
390717,0.4019226191847296,0.4407870658302557,0.5307315820588271,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4174338057082668,0.9892701129662884,0.5871239606953893,0.9525103847541827,0.15999999999999998
390717,0.4019226191847296,0.44295231587056616,0.532373632438018,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4183140428147086,0.9882448834040168,0.5878128598266772,0.9495210088120046,0.16999999999999998
390717,0.4019226191847296,0.44689890636957186,0.5350872030555971,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4198164689273206,0.9846724996497663,0.5886578550654018,0.9427027746425162,0.17999999999999997
390717,0.4019226191847296,0.4530696130447357,0.5394481781349657,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.42225795917023196,0.9798074351430864,0.5901743094457731,0.9326213090292974,0.18999999999999995
390717,0.4019226191847296,0.45652735867648453,0.5418303433678483,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.42362442206669504,0.9767062749143519,0.590941314264579,0.9266707105142596,0.19999999999999996
390717,0.4019226191847296,0.46007212381339946,0.5442320009456475,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4250274606860305,0.9732803525261402,0.5916735540789287,0.9203720339785574,0.20999999999999996
390717,0.4019226191847296,0.4659740937814326,0.5485051063096159,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4275137417037185,0.9692494810173334,0.5933252902619716,0.9112298671416907,0.21999999999999995
390717,0.4019226191847296,0.4716815495614473,0.5524203196769354,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.42988332107575183,0.9640278149237764,0.5946139147409373,0.9013249999360151,0.22999999999999995
390717,0.4019226191847296,0.4775374503796866,0.5562518280876634,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.432300186581646,0.9575389396197099,0.5956721960881406,0.8902530476022287,0.23999999999999994
390717,0.4019226191847296,0.48911872275841595,0.5639832442708115,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4373159469456028,0.9456437295431679,0.5980580491085632,0.8691098672440667,0.24999999999999992
390717,0.4019226191847296,0.49268140367580626,0.5661941613480083,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4388501814596364,0.9409633337154064,0.5985474489217258,0.861784872426846,0.2599999999999999
390717,0.4019226191847296,0.5045262939672448,0.5734828631547499,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.4441237617708206,0.9250245163590978,0.6001181530122821,0.8371276396982983,0.2699999999999999
