cluster,pib_per_capita_2021,populacao_2022,participacao_agro_2021,participacao_industria_2021,participacao_publica_2021
0,12010.40873847765,10968.0,0.14813698804416214,0.05012083682740598,0.46547799625063635
1,35304.60575100931,5872.0,0.45130906768837803,0.05455181406449721,0.19099081461178274
2,40556.03780657735,32095.5,0.06334924810593065,0.3050206696679163,0.14981524993367537
