bin,n,previsto,observado
2,2418.0,0.2753271249034342,0.2841191066997519
3,16695.0,0.3521778186941728,0.3414794848757113
4,42402.0,0.45807113258117266,0.44802131974906845
5,114363.0,0.5371303358383279,0.5878999326705315
6,72451.0,0.6536536899268013,0.6603083463306234
7,57372.0,0.7437222478696011,0.7413546677821934
8,20119.0,0.8399009790285614,0.8342859983100551
9,5148.0,0.9146716676578558,0.9578477078477079
