familia,alunos,prevalencia_nao_alfabetizado,accuracy,balanced_accuracy,brier,roc_auc,average_precision_risco,precision_risco,recall_risco,f1_risco,fracao_sinalizada,limiar_risco
logistica,390717,0.4019226191847296,0.6325217484777985,0.5900091191115455,0.22090017069486287,0.6644699942788811,0.5514125093064859,0.5648390826748891,0.37327907894904416,0.44950118473418244,0.2656142425335985,0.5
boosting,390717,0.4019226191847296,0.6343414798946552,0.591877129606444,0.22091061356131583,0.6645065792155697,0.5474264481984243,0.5682955279419278,0.3753932169283868,0.45212849588336124,0.26549395086469235,0.5
baseline,390717,0.4019226191847296,0.5980773808152704,0.5,0.24042783547257246,0.5,0.4019226191847296,0.0,0.0,0.0,0.0,0.5
